epoch,train_recon,train_slow,train_uniform,val_recon,codebook_usage,lr,time_s
1,25.033145,0.369449,-1.965862,9.792055,0.9877,1.0e-03,406.8
2,8.286455,0.376973,-2.545787,6.636230,1.0000,1.0e-03,206.9
3,6.207380,0.521547,-2.939335,5.768415,1.0000,1.0e-03,199.5
4,5.222465,0.579381,-3.073398,4.718949,1.0000,1.0e-03,199.7
5,4.618044,0.600235,-3.150395,4.163553,1.0000,1.0e-03,199.5
6,4.187505,0.607476,-3.199876,3.779564,1.0000,1.0e-03,199.6
7,3.855602,0.609739,-3.240345,3.784657,1.0000,1.0e-03,199.7
8,3.598652,0.609893,-3.270043,3.404036,1.0000,1.0e-03,199.4
9,3.364916,0.607366,-3.300958,3.138133,1.0000,1.0e-03,199.7
10,3.197878,0.604521,-3.327493,3.100144,1.0000,9.9e-04,199.2
11,3.031639,0.598314,-3.349566,2.926939,1.0000,9.9e-04,200.3
12,2.902981,0.592316,-3.366822,2.740634,1.0000,9.9e-04,200.7
13,2.784369,0.586851,-3.382881,2.751680,1.0000,9.9e-04,200.6
14,2.685537,0.579751,-3.402011,2.603323,1.0000,9.9e-04,200.2
15,2.595896,0.572642,-3.422815,2.501050,1.0000,9.9e-04,200.5
16,2.517068,0.565389,-3.441752,2.418177,1.0000,9.8e-04,200.3
17,2.440104,0.558192,-3.456268,2.335234,1.0000,9.8e-04,200.3
18,2.375515,0.550792,-3.471627,2.310858,1.0000,9.8e-04,200.4
19,2.314373,0.544853,-3.486409,2.215078,1.0000,9.8e-04,200.2
20,2.266238,0.539535,-3.498665,2.163826,1.0000,9.8e-04,200.4
21,2.218572,0.534596,-3.510167,2.481311,1.0000,9.7e-04,200.2
22,2.175832,0.529740,-3.520713,2.159713,1.0000,9.7e-04,200.2
23,2.134547,0.525561,-3.531302,2.308807,1.0000,9.7e-04,199.4
24,2.104939,0.521965,-3.539142,2.099717,1.0000,9.7e-04,199.3
25,2.068604,0.517522,-3.546558,2.029389,1.0000,9.6e-04,199.5
26,2.039164,0.514622,-3.554821,2.002379,1.0000,9.6e-04,199.3
27,2.018300,0.511902,-3.560596,1.997051,1.0000,9.6e-04,199.6
28,1.992271,0.509504,-3.567594,2.024520,1.0000,9.5e-04,199.7
29,1.964824,0.505650,-3.573102,1.973143,1.0000,9.5e-04,199.2
30,1.948900,0.503507,-3.578583,1.897130,1.0000,9.5e-04,199.1
31,1.927500,0.499817,-3.582265,1.975631,1.0000,9.4e-04,199.3
32,1.910799,0.498366,-3.587400,1.929089,1.0000,9.4e-04,199.1
33,1.890911,0.495673,-3.592283,1.867787,1.0000,9.3e-04,200.1
34,1.877470,0.494143,-3.596172,1.867452,1.0000,9.3e-04,200.5
35,1.864870,0.492367,-3.599846,1.855172,1.0000,9.3e-04,200.4
36,1.848756,0.490852,-3.605147,1.849455,1.0000,9.2e-04,200.5
37,1.833081,0.489828,-3.609082,1.906310,1.0000,9.2e-04,200.1
38,1.825391,0.488240,-3.611807,1.790488,1.0000,9.1e-04,200.7
39,1.813352,0.486498,-3.614550,1.867914,1.0000,9.1e-04,200.3
40,1.801330,0.484941,-3.615811,1.773784,1.0000,9.1e-04,200.3
41,1.787088,0.483695,-3.618906,1.761406,1.0000,9.0e-04,200.6
42,1.782326,0.482741,-3.620587,1.959710,1.0000,9.0e-04,200.1
43,1.775403,0.481439,-3.624115,1.745384,1.0000,8.9e-04,200.2
44,1.762295,0.480220,-3.627756,1.758445,1.0000,8.9e-04,200.2
45,1.750008,0.479541,-3.630112,1.864014,1.0000,8.8e-04,200.6
46,1.742358,0.478740,-3.631441,1.803326,1.0000,8.8e-04,200.4
47,1.738795,0.478609,-3.633173,1.767700,1.0000,8.7e-04,200.5
48,1.734430,0.479142,-3.632342,1.705613,1.0000,8.7e-04,200.1
49,1.728875,0.478896,-3.633070,1.741630,1.0000,8.6e-04,200.0
50,1.720777,0.479302,-3.634604,1.728250,1.0000,8.6e-04,200.3
51,1.714354,0.478256,-3.637353,1.758868,1.0000,8.5e-04,200.2
52,1.710060,0.478638,-3.639859,1.781338,1.0000,8.4e-04,200.3
53,1.708044,0.476985,-3.640635,1.718305,1.0000,8.4e-04,200.2
54,1.698025,0.476179,-3.642751,1.684000,1.0000,8.3e-04,200.5
55,1.697722,0.475682,-3.642081,1.716017,1.0000,8.3e-04,200.4
56,1.692195,0.474006,-3.641220,1.652460,1.0000,8.2e-04,200.0
57,1.680349,0.474804,-3.645789,1.656745,1.0000,8.1e-04,200.2
58,1.673610,0.475609,-3.646084,1.695447,1.0000,8.1e-04,200.1
59,1.667485,0.476302,-3.646790,1.673312,1.0000,8.0e-04,200.2
60,1.665543,0.477024,-3.645522,1.764229,1.0000,8.0e-04,200.6
61,1.661004,0.476456,-3.645324,1.764183,1.0000,7.9e-04,200.3
62,1.651572,0.476533,-3.646065,1.660990,1.0000,7.8e-04,199.9
63,1.647473,0.477684,-3.646962,1.628969,1.0000,7.8e-04,200.1
64,1.643457,0.477202,-3.646719,1.615983,1.0000,7.7e-04,200.2
65,1.641627,0.475062,-3.645138,1.705924,1.0000,7.6e-04,200.3
66,1.636735,0.474857,-3.645868,1.584210,1.0000,7.6e-04,200.0
67,1.633074,0.474796,-3.646448,1.624044,1.0000,7.5e-04,199.8
68,1.630029,0.475656,-3.648624,1.637675,1.0000,7.4e-04,200.0
69,1.625112,0.475221,-3.647945,1.615162,1.0000,7.4e-04,200.0
70,1.617721,0.475165,-3.649529,1.602744,1.0000,7.3e-04,200.0
71,1.616019,0.475798,-3.649971,1.609522,1.0000,7.2e-04,200.1
72,1.611411,0.475036,-3.650362,1.603313,1.0000,7.2e-04,199.8
73,1.609487,0.475608,-3.650865,1.783220,1.0000,7.1e-04,200.1
74,1.604880,0.475575,-3.651804,1.576611,1.0000,7.0e-04,199.8
75,1.600423,0.473982,-3.652384,1.628279,1.0000,6.9e-04,199.8
